Country,IndicatorName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
India,Armed forces personnel,1260000,1270000,1270000,1270000,1270000,2149500,2223000,2233000,2265000,2263000,2372000,2352700,2387700,2414700,2617000,3047000,2589000,2576000,2582000,2625586,2625586,2647150,2728700,2749700,2749700,2798800,2981050,3031000,3026500,3045000,3068000
United States,Armed forces personnel,2180000,2120000,1920000,1820000,1720000,1635600,1572100,1533300,1594000,1575000,1454800,1420700,1467000,1480000,1473000,1546000,1498000,1555000,1540000,1563996,1569417,1520100,1492200,1433150,1381250,1347300,1348400,1359000,1379800,1388000,1395000
India,MilitaryExpenditure ,3.14621461,2.909974328,2.704839706,2.823542246,2.664673727,2.578483572,2.472768225,2.647732426,2.727311417,2.957195647,2.948929906,2.924435546,2.82686683,2.677776932,2.828752248,2.910587502,2.68038156,2.478246528,2.631460781,3.129384727,2.889463272,2.704482223,2.618166348,2.54882489,2.543981765,2.457450061,2.543151521,2.531511361,2.424284526,2.548622174,2.812527562
United States,MilitaryExpenditure ,5.605175294,4.883429398,4.970466808,4.604350295,4.215264675,3.860245792,3.554982206,3.405562244,3.201558499,3.085676783,3.112242147,3.123809803,3.447618099,3.827161045,4.016312736,4.089231875,4.041342302,4.073350515,4.446595522,4.875768359,4.904023332,4.822441883,4.46170997,4.03266107,3.690960761,3.481428215,3.422587975,3.320540912,3.323866404,3.43456772,3.696009828
India,Arms imports ,2861000000,1896000000,1190000000,740000000,886000000,1403000000,851000000,1673000000,757000000,1215000000,983000000,1201000000,2031000000,2743000000,2214000000,1198000000,1475000000,2281000000,1644000000,1884000000,2898000000,3610000000,4396000000,5367000000,3330000000,2928000000,2782000000,2892000000,2118000000,3470000000,2847000000
United States,Arms imports ,363000000,491000000,484000000,912000000,935000000,741000000,555000000,567000000,249000000,222000000,302000000,463000000,471000000,567000000,537000000,501000000,634000000,831000000,968000000,977000000,1085000000,1002000000,1210000000,787000000,591000000,520000000,458000000,527000000,380000000,890000000,801000000
India,Arms exports ,7000000,2000000,3000000,9000000,2000000,2000000,21000000,2000000,2000000,4000000,21000000,2000000,21000000,4000000,31000000,19000000,33000000,23000000,15000000,27000000,5000000,3000000,18000000,18000000,40000000,42000000,49000000,56000000,47000000,18000000,151000000
United States,Arms exports ,10606000000,12489000000,14090000000,13770000000,11480000000,11182000000,10839000000,14500000000,15708000000,11543000000,7651000000,5592000000,4853000000,5624000000,6834000000,6766000000,7552000000,7972000000,7144000000,7202000000,8336000000,8941000000,8999000000,7607000000,9588000000,9918000000,9769000000,11732000000,9674000000,10888000000,9426000000
India,Military expenditure (current USD),10537035450,8622473881,8083231410,8253542581,8880551226,9754464630,9904672736,11464883390,11920610818,13895562461,14287514241,14600642346,14749667252,16333986643,20238566527,23072312925,23951927958,28254773450,33002376727,38722154392,46090445657,49633815794,47216920048,47403528801,50914096277,51295483754,56637622641,64559435281,66257801718,71468900524,72937064048
United States,Military expenditure (current USD),3.25E+11,2.99E+11,3.25E+11,3.17E+11,3.08E+11,2.96E+11,2.88E+11,2.93E+11,2.91E+11,2.98E+11,3.20E+11,3.32E+11,3.78E+11,4.41E+11,4.93E+11,5.33E+11,5.58E+11,5.90E+11,6.57E+11,7.06E+11,7.38E+11,7.52E+11,7.25E+11,6.79E+11,6.48E+11,6.34E+11,6.40E+11,6.47E+11,6.82E+11,7.34E+11,7.78E+11
