Country,Year,Region,BirthRate,DeathRate,LifeExpectancy,PopulationGrowth,TotalPopulation,MobileCellSubs,TelephoneLines,AgriculturalLand,RuralPopulation,RuralPopulationGrowth,SurfaceArea,UrbanPopulationPercent
Canada,2005,North America,10.65,7.25,80.14146341,1.002034424,31995000.0,15020000.0,20563000.0,7.428484711,6384602,0.611914239,9984670.0,80.045
Sao Tome and Principe,2005,Sub-Saharan Africa,37.59,8.059,64.26129268,2.27098869,150842.0,7745.0,7050.0,52.08333333,64645,0.20595097,960.0,57.144
Cambodia,2005,East Asia & Pacific,26.238,7.16,66.02470732,1.648703344,13149386.0,861500.0,32180.0,29.62837072,10643770,1.50302246,181040.0,19.055
Ethiopia,2005,Sub-Saharan Africa,39.752,11.533,55.56134146,2.843599137,74066147.0,155534.0,484368.0,31.607,62582932,2.614266551,1104300.0,15.504
Sri Lanka,2005,South Asia,18.606,6.336,73.43402439,1.357252497,19435000.0,2211158.0,991239.0,36.83623027,15860126,1.37195532,65610.0,18.394
Swaziland,2005,Sub-Saharan Africa,31.581,15.721,45.74534146,0.625744533,1094758.0,145000.0,44507.0,71.1627907,852094,0.792954555,17360.0,22.166
Argentina,2005,Latin America & Caribbean,17.788,7.774,74.55773171,0.887188811,38308779.0,13512383.0,8760566.0,49.09032444,3869570,-0.966609791,2780400.0,89.899
Bolivia,2005,Latin America & Caribbean,29.306,7.884,64.3635122,1.876777506,9187610.0,1800789.0,625428.0,33.80134773,3332162,0.594622712,1098580.0,63.732
Burkina Faso,2005,Sub-Saharan Africa,45.192,14.105,52.18278049,2.920590388,13034258.0,395939.0,85225.0,38.9619883,10328737,1.964836089,274220.0,20.757
Bahrain,2005,Middle East & North Africa,19.194,2.532,75.31880488,6.086032762,820505.0,649764.0,191553.0,11.91780822,95293,5.999518294,730.0,88.386
Saudi Arabia,2005,Middle East & North Africa,23.776,3.649,73.69029268,4.227937218,23839231.0,9175764.0,3695133.0,80.8065349,4588098,3.070776577,2149690.0,80.754
Guatemala,2005,Latin America & Caribbean,35.036,5.916,69.33190244,2.496708265,12367800.0,3168256.0,1132121.0,44.79283315,6585111,1.725880144,108890.0,46.756
Guinea,2005,Sub-Saharan Africa,40.485,14.234,52.19458537,1.883806218,9379621.0,154900.0,26200.0,56.69054208,6337998,1.340692705,245860.0,32.428
St. Lucia,2005,Latin America & Caribbean,17.635,6.929,72.62892683,1.041746552,163460.0,101000.0,42000.0,21.31147541,124012,2.479442244,620.0,24.133
"Congo, Rep.",2005,Sub-Saharan Africa,39.304,13.104,53.49965854,2.508834244,3448868.0,383653.0,13820.0,30.86383602,1361165,1.357577278,342000.0,60.533
Spain,2005,Europe & Central Asia,10.6,8.6,79.87073171,1.725466303,42921895.0,38622582.0,17934477.0,58.23750952,9862593,0.669178293,505370.0,77.022
Liberia,2005,Sub-Saharan Africa,40.806,12.742,54.0962439,1.915490264,3184643.0,94370.0,4959.2,26.94144518,1729070,1.282047202,111370.0,45.706
Maldives,2005,South Asia,21.417,4.071,73.32380488,1.693199722,292505.0,113246.0,31503.0,36.66666667,197470,-0.123992576,300.0,32.49
Oman,2005,Middle East & North Africa,21.741,3.149,74.023,3.086093565,2464001.0,806280.0,242745.0,5.725363489,694183,1.963743955,309500.0,71.827
Tanzania,2005,Sub-Saharan Africa,41.876,12.754,52.84078049,2.695352509,37765139.0,1942000.0,148360.0,39.69293294,28617289,1.890962844,947300.0,24.223
Gabon,2005,Sub-Saharan Africa,33.232,10.961,59.68385366,2.35126465,1347125.0,489367.0,38654.0,20.02561416,231072,-1.182651509,267670.0,82.847
Jamaica,2005,Latin America & Caribbean,17.02,6.2,71.21843902,0.359395234,2634145.0,1837552.0,423000.0,43.58264081,1247926,-0.036694161,10990.0,52.625
Albania,2005,Europe & Central Asia,15.29,5.763,75.839,-0.630929646,3014579.0,1259590.0,274557.0,40.94890511,1638394,-2.594953821,28750.0,45.651
United Arab Emirates,2005,Middle East & North Africa,16.24,1.568,75.35573171,8.240505863,3658658.0,3683117.0,1187734.0,6.686602871,663278,6.063526975,83600.0,81.871
India,2005,South Asia,23.757,8.389,63.72426829,1.527814847,1110626108.0,52220000.0,46198025.0,60.56895119,789621844,1.063334141,3287260.0,28.903
Madagascar,2005,Sub-Saharan Africa,38.221,8.763,60.72870732,2.960011002,17763367.0,333888.0,58702.0,70.23248616,12752144,2.57767924,587040.0,28.211
Lesotho,2005,Sub-Saharan Africa,29.197,18.747,43.53346341,0.696185928,1912022.0,196213.0,37230.0,76.21870883,1497324,-0.006210888,30360.0,21.689
Turkey,2005,Europe & Central Asia,19.779,5.983,72.01112195,1.366708048,66845635.0,34707549.0,19125163.0,53.54521004,21938737,-0.477844876,783560.0,67.18
